Project,Contracted tons,Total contract value (million dollar),Delivery timeline
NULIFE,"122,000",44.2,2026 – 2030
Reverion,"96,000",41.1,2027 – 2030
Planetary,"115,211",31.3,2026 – 2030
Arbor,"120,002",42.4,2028 – 2030
Hafslund Celsio,"99,998",31.7,2029 – 2030
Eion,"78,708",32.9,2027 – 2030
Phlair,"47,001",30.6,2027 – 2030
CO280,"224,446",48,2028 – 2030
CREW,"71,877",32.2,2025 – 2030
Terradot,"89,998",27,2025 – 2030
CarbonRun,"55,442",25.4,2025 – 2029
280 Earth,"61,571",39.5,2024 – 2030
Exergi,"179,998",48.6,2028 – 2030
Vaulted,"152,480",58.3,2024 – 2027
Lithos,"154,240",57.1,2024 – 2028
Heirloom,"26,889",26.6,2025 – 2030
Charm Industrial,"112,003",52.9,2024 – 2030